1 2 3 4
8 9 10 -15
200 38958 12809 89209
2325399980654134623 -6839829709557859520 6629881883363003495 -5804173858739579475
-3879758753879951115 -186048604952171224 17968219734994122 5688486426469915734
881182986381962610 922331169374285129 -3079128093484189905 251117166033886596
-1112970964356956021 6732290335742699649 -1516437066183699524 5843169791474431883
6096752808920199263 6815893372718182430 5992616911767298477 -8811011396842591951
-2523148341195201457 4569568316369877710 -6146340908884229099 2757236870065498195
-8684670372193834972 -2455292834039136317 143954699484561316 -567936747733746871
7685131104177967952 6160169950913513502 2939406910832411474 5176027946379978146
-5224419732502344680 2018884223817483267 8955888345677892096 -5504682911160979470
-6380884000255963354 674414805627221490 4698673869840833098 3188560398463646144
3124499952545812933 4390143854040392800 6373806877365057382 7574024019381683835
6367198533292909231 -3380625564136707127 -8467891900714446357 -3587141590785481534
728084086224747525 6831528489463046376 2315023159530045179 713102753072912568
745070210027327260 -7923731393361713656 8291924344809468911 8928370481921652021
5025563505004364203 -1510591018705830550 7739508291452861255 3799209125449875530
8613557794328951223 4247867176962703625 -3229447032556166291 199814612943782282
-3258118775455401842 -6946992598535706910 5806399034258681931 -1898880682646250401
7377026646917421668 -96379702157362677 -6074765708655612491 -1797130616663993681
-8055662183852607623 1215585041540392409 -8491468911416352366 2627083564130452389
2653299092609717556 -5155707954588278558 -429856152354778218 -7721771282055445096
-3393760477415630564 -4677689106637806745 1314201162350119460 3991907483191491095
5486517418200100389 4930671004162118879 -4271505189611997598 -5555372795067049395
8060272993822319976 -5796894397671515212 8850128609767316368 100328712005946984
-8430533877584514423 2255441524425064442 -5494005942613476906 -6049599597946898722
-364891431977325743 -1558642294616802911 -8362248688343931990 -478086748027863450
-1548655356612195704 -5480465179263580608 -5266007370190794830 8973120810087906952
-3543370586321963235 -8959146284591345912 -1747961069454983105 -3092379253984824431
5435202465443458012 2112892676847358104 -8698560207089444559 -1748376652653070745
-3663902064096032441 2332104814117563878 -4871684936059070544 -3392118785902678164
834358974074031722 8167752943060143004 -2136638690115910470 83336345307817699
3726631529718523855 -2061529534490139137 -7154448681033043159 3778289209309742513
-8191583734720743591 2475371785061805754 -2436710055917450446 -4848401585090050961
1526013602380866654 -2253548596486456433 6747322708293815935 3796733904478763487
5557281355445358671 9192997521939442088 -1652411838479222033 -86982622282751020
1708928153675411230 1813761698167496274 -4628167576634149315 -1907393640878613952
5742832117540317127 -8796858866669717535 5593564487237649029 6456137762362514023
2649646454199161908 -5701766701140134138 8129717764117513879 -2348826800927990170
-6119922132228919256 -3466396740717701825 4891467751963313723 1501494427409050298
-1988609251298462013 4849252228263033482 3127164942645614562 -3582061609098734787
7465012012510712741 -6867979794264291067 3412105235612956698 5566880897468303877
5267841518400971317 6673661665935947207 -1514626400687092125 -4594396074122733879
6721581075321509585 8634664405784662475 2265199631420097594 6857423592698236421
8945349938071779241 -881802583592874447 1612567098638940416 -8726766815274463380
-2705282389982380430 -4901902005826428523 6281377965860600572 -3447086622888501677
9026270734291363589 -7574264369083851688 -6417896210930624292 -2951244850234140779
-2304517315670309273 -8227565754965658666 -6375110754166993513 5567729066426699835
8763219292781676228 -3783257111811496951 4518752814551356703 -7038185490350238474
-52685508359407182 -1887213714518236550 -4976916952409685457 -2782424449695985317
-1811981739851305074 -7423841279530470387 1994209848963376224 6411341156429470479
1198975220047594457 -1974702779611323956 5722376022533382803 577916740949237309
6295560302669338811 -6666487842756546310 5567634879061690171 -5338143567015176773
-78080930607272137 9004036445219415722 3260032864576619244 8022005408553035183
-2567878298405186356 5257652281119051644 -7104764660346734799 -2662857476862350226
-2738163287319640047 85381626214203651 -214896674449162701 8551471641106430060
-4759640527009755447 4364358740004141399 -4788774953228963913 -5427353525265984238
-8304171249643425843 6083620800508031026 8091183444736187897 4427000021338895402
-570670923814047695 -5020695162854039943 -19496684297058275 4318338822643894897
-677705686410605795 2168797508987268530 1698497917106059684 4549492366928178206
1715040188915153063 3615093148170766064 -8842236103776771255 -6945879283150898640
